,Atlanta,Boston,Buffalo,Chicago,Columbus,Dallas,Denver,Houston,Kansas City,Louisville,Memphis
Atlanta,,1037,859,674,533,795,1398,789,798,382,371
Boston,1037,,446,963,735,1748,1949,1804,1391,941,1293
Buffalo,859,446,,522,326,1346,1508,1460,966,532,899
Chicago,674,963,522,,308,917,996,1067,499,292,530
Columbus,533,735,326,308,,1028,1229,1137,656,209,576
Dallas,795,1748,1346,917,1028,,781,243,489,819,452
Denver,1398,1949,1508,996,1229,781,,1019,600,1120,1040
Houston,789,1804,1460,1067,1137,243,1019,,710,928,561
Kansas City,798,1391,966,499,656,489,600,710,,520,451
Louisville,382,941,532,292,209,819,1120,928,520,,367
Memphis,371,1293,899,530,576,452,1040,561,451,367,
