,Canton,Albany,Potsdam,Little Falls,Rochester,Syracuse,Buffalo,Utica,Poland,Colton,New York City,Lake Placid,Old Forge,Lake George,Cooperstown
Canton,,201,17,137,210,131,273,125,119,18,350,80,111,141,165
Albany,,,198,74,226,145,289,95,92,188,151,139,143,61,75
Potsdam,,,,145,221,143,284,133,127,10,347,69,118,138,174
Little Falls,,,,,155,75,218,23,17,139,220,155,63,97,30
Rochester,,,,,,87,74,135,146,222,340,278,176,249,174
Syracuse,,,,,,,150,55,66,142,254,197,96,168,93
Buffalo,,,,,,,,201,211,288,380,343,242,314,239
Utica,,,,,,,,,15,127,240,148,51,117,40
Poland,,,,,,,,,,122,237,148,46,101,45
Colton,,,,,,,,,,,337,70,108,129,167
New York City,,,,,,,,,,,,289,293,211,194
Lake Placid,,,,,,,,,,,,,98,80,182
Old Forge,,,,,,,,,,,,,,89,91
Lake George,,,,,,,,,,,,,,,103
Cooperstown,,,,,,,,,,,,,,,
